run_name,experiment_no,protocol,category,family,model_name,loss_mode,dataset_scope,best_epoch,best_val_f1,best_val_acc,test_f1,test_acc,test_loss,epochs_observed,epochs_configured,batch_size,seq_len,train_samples,val_samples,test_samples,test_fake_samples,test_real_samples,relative_dir
IMG-EXP-04_convnext_base_image_combined,IMG-EXP-04,image,image,ConvNeXt,convnext_base,none,image_combined,8,0.9868859746610358,0.9867111131132033,0.9862722411582601,0.9862799637466012,0.22890948171913625,10,10,32,,126094,22199,31997,16000,15997,train/image/ConvNeXt/IMG-EXP-04_convnext_base_image_combined
IMG-EXP-05_convnext_large_image_combined,IMG-EXP-05,image,image,ConvNeXt,convnext_large,none,image_combined,9,0.9863549491088492,0.986170548222893,0.983980264185117,0.9839672469293996,0.23603907976299524,10,10,16,,126094,22199,31997,16000,15997,train/image/ConvNeXt/IMG-EXP-05_convnext_large_image_combined
IMG-EXP-07_swin_base_patch4_window7_224_image_combined,IMG-EXP-07,image,image,Swin,swin_base_patch4_window7_224,none,image_combined,5,0.9861197615446214,0.9859453128519303,0.9841548193148368,0.9841860174391349,0.2272182878702879,8,10,32,,126094,22199,31997,16000,15997,train/image/Swin/IMG-EXP-07_swin_base_patch4_window7_224_image_combined
IMG-EXP-01_vit_base_patch16_224_image_combined,IMG-EXP-01,image,image,ViT,vit_base_patch16_224,none,image_combined,9,0.9733921647279048,0.9731068967070589,0.9701778042585217,0.970278463605963,0.25842589989304543,10,10,64,,126094,22199,31997,16000,15997,train/image/ViT/IMG-EXP-01_vit_base_patch16_224_image_combined
IMG-EXP-02_vit_large_patch16_224_image_combined,IMG-EXP-02,image,image,ViT,vit_large_patch16_224,none,image_combined,10,0.959195530726257,0.958872021262219,0.9546025367323873,0.954808263274682,0.29225644958764313,10,10,16,,126094,22199,31997,16000,15997,train/image/ViT/IMG-EXP-02_vit_large_patch16_224_image_combined
VID-SPA-02_convnext_base_video_combined_loss-focal,VID-SPA-02,video,spatial,ConvNeXt,convnext_base,focal,video_combined,2,0.5311653116531165,0.8002309468822171,0.47442872687704024,0.8026960784313726,0.15723087067648867,5,10,4,1.0,8648,866,2448,1985,463,train/video/spa/ConvNeXt/VID-SPA-02_convnext_base_video_combined_loss-focal
VID-SPA-02_convnext_base_video_combined_loss-none,VID-SPA-02,video,spatial,ConvNeXt,convnext_base,none,video_combined,6,0.7245762711864406,0.8498845265588915,0.7022900763358778,0.8566176470588235,0.46388892293755524,9,10,8,1.0,14096,866,2448,1985,463,train/video/spa/ConvNeXt/VID-SPA-02_convnext_base_video_combined_loss-none
VID-SPA-02_convnext_base_video_combined_loss-weighted_ce,VID-SPA-02,video,spatial,ConvNeXt,convnext_base,weighted_ce,video_combined,3,0.7161125319693095,0.871824480369515,0.6708595387840671,0.8717320261437909,0.6252439428924346,6,10,8,1.0,8648,866,2448,1985,463,train/video/spa/ConvNeXt/VID-SPA-02_convnext_base_video_combined_loss-weighted_ce
VID-SPA-06_swin_base_patch4_window7_224_video_combined_loss-none,VID-SPA-06,video,spatial,Swin,swin_base_patch4_window7_224,none,video_combined,5,0.5810276679841897,0.7551963048498845,0.5252525252525253,0.7504084967320261,0.6613689806141885,8,10,4,1.0,14096,866,2448,1985,463,train/video/spa/Swin/VID-SPA-06_swin_base_patch4_window7_224_video_combined_loss-none
VID-ST-02_convnext_base_video_combined_loss-none,VID-ST-02,video,spatiotemporal,ConvNeXt Hybrid,convnext_base,none,video_combined,5,0.5977011494252874,0.7575057736720554,0.5744047619047619,0.7663398692810458,0.7085576183375677,8,10,1,12.0,14096,866,2448,1985,463,train/video/st/ConvNeXt_Hybrid/VID-ST-02_convnext_base_video_combined_loss-none
VID-ST-03_convnext_large_video_combined_loss-none_lr-5e-05,VID-ST-03,video,spatiotemporal,ConvNeXt Hybrid,convnext_large,none,video_combined,10,0.7752293577981652,0.8868360277136259,0.7841239109390126,0.9089052287581699,0.39863323514027144,10,10,2,4.0,14096,866,2448,1985,463,train/video/st/ConvNeXt_Hybrid/VID-ST-03_convnext_large_video_combined_loss-none_lr-5e-05
VID-ST-05_maxvit_base_tf_224.in1k_video_combined_loss-none_lr-5e-05,VID-ST-05,video,spatiotemporal,MaxViT Hybrid,maxvit_base_tf_224.in1k,none,video_combined,2,0.6848072562358276,0.8394919168591224,0.6413570274636511,0.8186274509803921,0.546854635505797,5,10,2,4.0,14096,866,2448,1985,463,train/video/st/MaxViT_Hybrid/VID-ST-05_maxvit_base_tf_224.in1k_video_combined_loss-none_lr-5e-05
VID-TMP-01_convnext_base_video_combined_loss-none,VID-TMP-01,video,temporal,ConvNeXt Sequence,convnext_base,none,video_combined,4,0.6997840172786177,0.8394919168591224,0.708994708994709,0.8651960784313726,0.4552627578012499,7,10,2,8.0,14096,866,2448,1985,463,train/video/tmp/ConvNeXt_Sequence/VID-TMP-01_convnext_base_video_combined_loss-none
VID-TMP-01_convnext_base_video_combined_loss-weighted_ce,VID-TMP-01,video,temporal,ConvNeXt Sequence,convnext_base,weighted_ce,video_combined,7,0.7338501291989664,0.8810623556581986,0.7099391480730223,0.8831699346405228,0.6768527996781117,10,10,2,8.0,8648,866,2448,1985,463,train/video/tmp/ConvNeXt_Sequence/VID-TMP-01_convnext_base_video_combined_loss-weighted_ce
VID-TMP-02_convnext_large_video_combined_loss-none_lr-5e-05,VID-TMP-02,video,temporal,ConvNeXt Sequence,convnext_large,none,video_combined,10,0.7752293577981652,0.8868360277136259,0.7841239109390126,0.9089052287581699,0.39863323514027144,10,10,2,4.0,14096,866,2448,1985,463,train/video/tmp/ConvNeXt_Sequence/VID-TMP-02_convnext_large_video_combined_loss-none_lr-5e-05
